PROPERTY_ADDRESS,fill,lng,lat,duration,time_windows,earliest,latest,size
Granada,84.40572934,-3.6113473,37.1775418,300,-1,,,1
Granada,82.34784427,-3.6121647,37.1947763,300,-1,,,1
Granada,80.8432495,-3.6087041,37.1906527,300,-1,,,1
Granada,74.50647546,-3.6106032,37.1942686,300,-1,,,1
Granada,80.01587125,-3.6181661,37.1932638,300,-1,11000,11500,1
Granada,87.43967131,-3.6072574,37.1753893,300,-1,,,1
Granada,72.39561694,-3.612719,37.1994219,300,-1,,,1
Granada,71.40137452,-3.638518,37.1908999,300,-1,,,1
Granada,81.96011186,-3.604256,37.1928689,300,-1,,,1
Granada,95.03521352,-3.61816,37.18833,300,-1,,,1
Granada,51.40899326,-3.6193116,37.1894875,300,-1,,,1
Granada,90.35962774,-3.6062871,37.1924525,300,-1,,,1
Granada,86.46575735,-3.6153252,37.1910115,300,-1,,,1
Granada,58.90813433,-3.612719,37.1994219,200,-1,,,1
Granada,76,-3.638518,37.1908999,200,-1,,,1
Granada,81,-3.604256,37.1928689,200,-1,,,1
Granada,82,-3.61816,37.18833,200,-1,,,1
Granada,90,-3.6193116,37.1894875,200,-1,,,1
Granada,91,-3.6062871,37.1924525,200,-1,,,1
Granada,77,-3.6153252,37.1910115,200,-1,,,1
Granada,77,-3.612719,37.1994219,200,-1,,,1
Granada,77,-3.6085984,37.1894152,200,-1,,,1
Granada,77,-3.6091189,37.1887765,200,-1,,,1
Granada,77,-3.6026855,37.1648536,200,-1,,,1
Granada,77,-3.6131977,37.1902328,200,-1,,,1
Granada,77,-3.6054241,37.186821,200,-1,,,1
Granada,77,-3.6077096,37.196389,200,-1,,,1
Granada,77,-3.610509,37.1956591,200,-1,,,1
Granada,77,-3.6082315,37.1898555,200,-1,,,1
Granada,77,-3.6183036,37.1872848,200,-1,,,1
Granada,77,-3.6049935,37.1937101,200,-1,,,1
Granada,77,-3.6120588,37.1879871,200,-1,,,1
Granada,77,-3.6132698,37.1893213,200,-1,,,1
Granada,77,-3.6038791,37.1913874,200,-1,,,1
Granada,77,-3.6174221,37.1969806,200,-1,,,1
Granada,77,-3.6067991,37.1760438,200,-1,,,1
Granada,77,-3.6086468,37.1943723,200,-1,,,1
Granada,77,-3.6052446,37.1932468,200,-1,,,1
Granada,77,-3.6080813,37.1944096,200,-1,,,1
Granada,77,-3.6101773,37.1888001,200,-1,,,1
Granada,77,-3.6145075,37.1900458,200,-1,,,1
Granada,77,-3.6173566,37.1866505,200,-1,,,1
Granada,77,-3.6092998,37.1971351,200,-1,,,1
Granada,77,-3.6130256,37.1885555,200,-1,,,1
Granada,77,-3.6067486,37.1848601,200,-1,,,1
Granada,77,-3.6096389,37.1962673,200,-1,,,1
Granada,77,-3.615664,37.194714,200,-1,,,1
Granada,77,-3.6193226,37.1875056,200,-1,,,1
Granada,77,-3.6085801,37.1959758,200,-1,,,1
Granada,77,-3.6084851,37.1766746,200,-1,,,1
Granada,77,-3.605836,37.168756,200,-1,,,1
Granada,77,-3.617297,37.184266,200,-1,,,1
Granada,77,-3.6056925,37.18947,200,-1,,,1
Granada,77,-3.6035438,37.1920548,200,-1,,,1
Granada,77,-3.6102163,37.1888061,200,-1,,,1
Granada,77,-3.6147725,37.1858406,200,-1,,,1
Granada,77,-3.628278,37.205736,200,-1,,,1
Granada,77,-3.6057586,37.1723555,200,-1,,,1
Granada,77,-3.6046715,37.1883925,200,-1,,,1
Granada,77,-3.6053095,37.1911005,200,-1,,,1
Granada,77,-3.6165493,37.1871696,200,-1,,,1
Granada,77,-3.6206275,37.1877698,200,-1,,,1
Granada,77,-3.6091133,37.1730096,200,-1,,,1
Granada,77,-3.6036801,37.1885405,200,-1,,,1
Granada,77,-3.6081179,37.177977,200,-1,,,1
Granada,77,-3.6099855,37.1769013,200,-1,,,1
Granada,77,-3.614848,37.1835018,200,-1,,,1
Granada,77,-3.6094763,37.1760616,200,-1,,,1
Granada,77,-3.6103581,37.1791325,200,-1,,,1
Granada,77,-3.6179831,37.1840231,200,-1,,,1
Granada,77,-3.6196625,37.1888295,200,-1,,,1
Granada,77,-3.617468,37.1912116,200,-1,,,1
Granada,77,-3.6111143,37.1803691,200,-1,,,1
Granada,77,-3.6046899,37.1945578,200,-1,,,1
